search_word,username,userid,location,tweet
Middle+Class+Melodies,Thanushnaidu1,1281992386546003968,,@AmazonHelp at which time movierelease middle class melodies
Middle+Class+Melodies,VeerendarRedd12,1329449909112680450,,@ananddeverkonda we exciting to see middle class melodies anna
Middle+Class+Melodies,ram75788350,1262743873463283712,,@AmazonHelp #middle_class_melodies movie  launching fast plzzz
Middle+Class+Melodies,AmazonHelp,85741735,,@AbhishekRuler1 Middle class melodies is launching on 20 Nov 2020. Stay tuned for further updates. ^VI
Middle+Class+Melodies,Miryamoffficial,1280066686305988608,"Hyderabad, India","#MiddleClassMelodiesOnPrime
Watch middle class melodies streaming on prime tonight .
Guntur gurnchi oka Guntur kurrodu teesina kadha ...❤️
@vinodanantoju @ananddeverkonda @BhavyaCreations https://t.co/e4OMlbRDeR"
Middle+Class+Melodies,Reddy__1016,1291569046048010240,Greater Hyderabad💪,"Middle class melodies at 10Pm❣️
@PrimeVideoIN ."
Middle+Class+Melodies,dimwit_dreamer,1271906392803176448,,"-&gt;""Middle class melodies"" by Vinod anantoju
-&gt;""Run"" by Aneesh chaganty are releasing tomorrow🥳🥳.
Let these be good🤞 https://t.co/1x7QXHjBHX"
Middle+Class+Melodies,AmazonHelp,85741735,,@NaniNaaPeru1 Middle Class Melodies will be available for streaming on Amazon Prime Video from 20th November 2020 at 12:00am IST. Kindly stay tuned. ^VS
Middle+Class+Melodies,DathuRulz,134672359,cinema,@a_Suman_ @_LoneSurvivor Middle class melodies
Middle+Class+Melodies,HanuSatya,916584521448923136,"Hyderabad, India",Today Middle Class Melodies is coming on prime video at 10 PM https://t.co/KztYyCPEOn
Anaganaga+O+Athidhi,itsSanjaySubash,180474629,chennai,Our telugu classic thriller ANAGANAGA O ATHIDHI   premiers tomorrow at 6.00 pm in #aha ( OTT).. pls watch and share your review !!! Cheers !!! https://t.co/S3YPsoz2lH
Anaganaga+O+Athidhi,clapnumber,1092974573929213953,India,"Here are the stills from the press meet of #AnaganagaOAthidhi, a suspense thriller premiering on November 20 at 6 PM only on @ahavideoIN @starlingpayal. Check out 👉 https://t.co/gWt99zzYBo. https://t.co/ILMMh9Xe9N"
Anaganaga+O+Athidhi,telugu_films,110402521,,"Here are the stills from the press meet of #AnaganagaOAthidhi, a suspense thriller premiering on November 20 @ 6 PM only on @ahavideoIN
 
https://t.co/Kaz6hhiFdp

@starlingpayal @99_chaitu @dayalpadmanaban 
@Trendloud @ArrolCorelli https://t.co/0GcPTYEEBz"
Anaganaga+O+Athidhi,mymovierack,557483978,"Mumbai, Maharashtra",Roll out the carpet because a mysterious guest is here with a target. Watch the official trailer for Anaganaga O Athidhi #trailer #AnaganagaOAthidhi https://t.co/G8LORIgsNZ
Anaganaga+O+Athidhi,PrimeTalksNews,1089582371530203136,India,"#AnaganagaOAthidhi Trailer Talk – Payal Rajput, Chaitanya Krishna Promises To Be A Dark &amp; Thrilling Ride!

@ahavideoIN @starlingpayal @99_chaitu @dayalpadmanaban @Trendloud @ArrolCorelli #AnaganagaOAthidhiTrailer #PayalRajput #Aha 

https://t.co/DQIfWG0T69 via @primetalksnews"
Anaganaga+O+Athidhi,123telugu,32299960,Hyderabad,"Movie Stills :  #AnaganagaOAthidhi ( #PayalRajput ) 

https://t.co/thxeKSqcvb https://t.co/7Q49oMBQaD"
Anaganaga+O+Athidhi,Binged_,1099026537892978689,,"Trailer Talk: @ahavideoIN #AnaganagaOAthidhi : @starlingpayal  's Show

the entire shooting has been done in a house set erected in @Ramoji_FilmCity   

@99_chaitu @dayalpadmanaban @Trendloud @ArrolCorelli 

https://t.co/5oeAVMmZfw"
Anaganaga+O+Athidhi,123telugu,32299960,Hyderabad,"Trailer : #AnaganagaOAthidhi – ( #PayalRajput, #ChaitanyaKrishna)

https://t.co/9oVqAQ2vlp

@ahavideoIN https://t.co/KcDY86Mr9d"
Anaganaga+O+Athidhi,igtelugu,52877595,Hyderabad,"#PayalRajput's #AnaganagaOAthidhi Trailer: Anticipates a twist in the tale!

@starlingpayal @99_chaitu @dayalpadmanaban @Trendloud @ArrolCorelli #IndiaGlitzTelugu #News #Tollywood 

https://t.co/wmdl7VEixb"
Anaganaga+O+Athidhi,telugu_films,110402521,,"A thriller that will make you expect the unexpected! 

Watch trailer of #AnaganagaOAthidhi 

Link: https://t.co/9c4fmdTuDg https://t.co/KrPOPPp6E3"
Andhaghaaram,streamingalerts,1257925607582662656,,#Andhaghaaram Coming To #NETFLIX On 24th November 2020 https://t.co/8gHQJiUTuh via @YouTube
Andhaghaaram,TAMILCINEMACOM,1226510698076721154,"Vellore, India",5 days to ago #Andhaghaaram new poster 🔥🔥🔥 https://t.co/MI0ykNjLqd
Andhaghaaram,cinemapettai,2366937727,"Chennai, India","5 days to go for #Andhaghaaram. The next Tamil release on #Netflix. With good buzz riding on its content! 

@Atlee_dir @aforapple_offcl @PassionStudios_ @priyaatlee @Sudhans2017 @vvignarajan

Starring @iam_arjundas - @vinoth_kishan @NetflixIndia https://t.co/d1cWtWafEY"
Andhaghaaram,DsCinemas24x7,1283076661836054528,,"All the very best Actor #ArjunDas for your new release #Andhaghaaram post blockbuster #Kaidhi

@iam_arjundas @vinoth_kishan @Atlee_dir @aforapple_offcl @PassionStudios_ @priyaatlee @Sudhans2017 @vvignarajan @PRO_Priya https://t.co/gOih8iHOs3"
